"Task ID","Issue Type","Summary","Epic Link","Phase","Status","Priority","Story Points","Depends On","Affected Files","Description / Acceptance Criteria","Components","Labels"
"T10","Task","Add accept_invite() atomic three-step transaction","Invite-based user onboarding (Platform / Tenant)","Phase 2: Backend core (identity, permissions, tokens)","To Do","Highest","5","T5, T9, T11","services/config/invites.py","Implements: classify row -> conditional UPDATE ... WHERE status='pending' AND expires_at > now() RETURNING * -> _insert_user -> set accepted_user_id -> write_audit; catching the users-table UniqueViolationError as EmailTaken WITHOUT burning the invite. Done when: two simultaneous accept_invite calls with the same token produce exactly one accepted row and one InviteUsed raised (asserted as distinct from expired/revoked), with exactly one row in users; a squatting scenario (Tenant A and Tenant B both holding a pending invite for the same email) has the second accept raise EmailTaken with a tenant-blind message and leave that invite still pending (resendable/revocable) rather than 500ing; and expired/revoked/already-accepted tokens each raise their own named exception, distinctly.","config-service","onboarding rbac backend"
"T11","Task","Add team column to _insert_user()","Invite-based user onboarding (Platform / Tenant)","Phase 2: Backend core (identity, permissions, tokens)","To Do","Medium","1","T1","services/config/users.py","Done when existing test_users.py cases pass unchanged (POST /users is untouched here — its removal is a Phase 3 task, once the invite path is reachable). NOTE: the email lower-casing in _insert_user and get_user_by_email originally scoped here MOVED INTO Phase 1 (T4's review fix) because users_email_lower_idx cannot ship without it — do not re-do it here.","config-service","onboarding rbac backend"
"T12","Task","Add token_hash to the audit redaction set","Invite-based user onboarding (Platform / Tenant)","Phase 2: Backend core (identity, permissions, tokens)","To Do","High","1","","services/config/audit.py","An accept/resend/revoke test inspects the written audit_log row and asserts token_hash is absent/redacted while entity_type/action/actor are present.","config-service","onboarding rbac backend"
"T13","Task","Add InviteCreate / InviteAccept schemas and widen UserUpdate role Literal","Invite-based user onboarding (Platform / Tenant)","Phase 2: Backend core (identity, permissions, tokens)","To Do","High","2","T1","services/config/schemas.py","InviteAccept carries password: str = Field(min_length=8). Done when: InviteAccept(password=""short"") raises a validation error and password=""12345678"" does not; UserUpdate(role=""supervisor"") validates.","config-service","onboarding rbac backend"
"T14","Task","Widen Role Literal to include supervisor and agent","Invite-based user onboarding (Platform / Tenant)","Phase 2: Backend core (identity, permissions, tokens)","To Do","Medium","1","T1","services/config/auth.py:23","Widen Role = Literal[""superadmin"",""admin"",""viewer""] to include ""supervisor"",""agent"". Done when: mypy/type-check on services/config passes and a JWT payload carrying role=""supervisor"" type-checks as Role (no runtime behavior change; this closes the stale-Literal drift the design flagged as deprioritized).","config-service","onboarding rbac backend"
"T15","Task","Add send_invite_email() via stdlib smtplib with secret-ref SMTP password","Invite-based user onboarding (Platform / Tenant)","Phase 3: API, email delivery and cutover","To Do","High","3","","services/config/email.py (new), docs/setup.md","Reads SMTP_HOST/PORT/USER/FROM and SMTP_PASSWORD_REF via the repo's existing secret-ref resolver (libs/config_sdk/secrets.py), and documents the new env vars alongside INVITE_BASE_URL. Done when: with SMTP mocked to raise, calling send_invite_email() directly raises/returns a failure the caller can catch without crashing; with SMTP mocked to succeed, the composed message body contains ${INVITE_BASE_URL}/invite#<token> with the token ONLY in the fragment, never in a path segment.","config-service","onboarding api email backend"
"T16","Task","Add authenticated invite management routes (POST/GET /invites, resend, revoke)","Invite-based user onboarding (Platform / Tenant)","Phase 3: API, email delivery and cutover","To Do","High","3","T9, T15","services/config/routers/invites.py (new)","POST /invites, GET /invites (super_admin sees all; tenant-scoped actor's ?tenant_id= ignored/forced to JWT), POST /invites/{id}/resend, POST /invites/{id}/revoke, all under require_role(""superadmin"",""admin""); the create/resend handlers call send_invite_email() after commit, non-fatal on failure. Done when: GET /invites?tenant_id=<other> as a tenant_admin returns only the actor's own tenant's invites (AC11); the same call as super_admin, unfiltered, returns invites across tenants; POST /invites returns 201 with email_sent: bool in the body; and with SMTP mocked to raise, POST /invites still returns 201 email_sent: false with the row status='pending' and resendable (AC12).","config-service","onboarding api email backend"
"T17","Task","Add public GET/POST /invites/accept with X-Invite-Token header","Invite-based user onboarding (Platform / Tenant)","Phase 3: API, email delivery and cutover","To Do","High","3","T10, T15","services/config/routers/invites.py","Token via X-Invite-Token header, no JWT dependency; returns only {email, tenant_name, role, status} on GET. Done when: a request with no Authorization header reaches both handlers (proving they bypass the console gate by construction); GET /invites/accept for a valid token returns no field naming any other account or tenant beyond the invitee's own; and accepting with a wrong/missing header/token structure 404s.","config-service","onboarding api email backend"
"T18","Task","Add per-inviter fixed-window throttle for invite create/resend","Invite-based user onboarding (Platform / Tenant)","Phase 3: API, email delivery and cutover","To Do","High","3","T16","services/config/app.py","In-process fixed-window throttle helper keyed on invited_by: 30 attempts/hour outcome-blind probe cap; 20 successful sends/hour across create+resend; 60s per-invite resend cooldown off last_sent_at. Done when: 30 consecutive create attempts that each 409 make the 31st 429 with Retry-After; a successful create attempt after 30 conflicts is ALSO 429 (proving outcome-blindness); 20 successful sends make the 21st 429 even with probe-counter room left; and two resends within 60s make the second 429 naming remaining seconds.","config-service","onboarding api email backend"
"T19","Task","Add accept-route IP throttle, mount invites router, delete POST /users","Invite-based user onboarding (Platform / Tenant)","Phase 3: API, email delivery and cutover","To Do","High","3","T16, T17, T18","services/config/app.py, services/config/routers/users.py","IP throttle keyed on request.client.host (NEVER X-Forwarded-For), 10/minute and 50/hour across GET+POST, plus the one-line comment documenting the trusted-proxy caveat; wire app.include_router(invites.router); and, now that the new path is reachable, delete POST /users (temp-password path). Done when: the 11th accept request from one IP in a minute is 429, byte-identical for a valid and an invalid token; a forged X-Forwarded-For header does not move the request into a different bucket than an identical request without it; POST /invites and POST /invites/accept are reachable end-to-end through the app; POST /users returns 404/405; and existing test_users.py cases for the deleted route are removed with the remaining suite passing — leaving a tenant able to onboard a user via invite at every point after this task, with no gap where neither path works.","config-service","onboarding api email backend"
"T20","Task","Add Invite/User types and invite API client functions","Invite-based user onboarding (Platform / Tenant)","Phase 4: Admin UI","To Do","Medium","3","T16, T17","admin-ui/lib/api.ts","Add Invite/User types and listUsers, listInvites, createInvite, resendInvite, revokeInvite, getInvite, acceptInvite. Done when: each function has a corresponding unit/integration test (or existing request()-pattern test) hitting a mocked endpoint and returning the typed shape, matching how other lib/api.ts functions are covered today.","admin-ui","onboarding frontend"
"T21","Task","Build users + pending-invites management screen","Invite-based user onboarding (Platform / Tenant)","Phase 4: Admin UI","To Do","Medium","5","T20","admin-ui/app/users/page.tsx (new), admin-ui/components/AppShell.tsx","Invite modal, resend disabled during cooldown, status column pending/expired/revoked/accepted. Done when: the nav item renders only for superadmin/admin roles; the page lists users and invites scoped to the viewer's tenant (or all tenants for super_admin, AC11); and an invite shown as email_sent: false still displays as pending with a working resend action (AC12).","admin-ui","onboarding frontend"
"T22","Task","Build public invite accept page reading token from location.hash","Invite-based user onboarding (Platform / Tenant)","Phase 4: Admin UI","To Do","Medium","3","T20","admin-ui/app/invite/page.tsx (new), admin-ui/components/AppShell.tsx","Sends the token as X-Invite-Token on GET/POST /invites/accept; treat /invite as a standalone unguarded route like /login. Done when: visiting /invite#<token> while unauthenticated does not bounce to /login; submitting a valid password calls POST /invites/accept with the token in the header and NEVER in the URL/query string; and an expired/revoked/already-used token renders its specific message (AC6, AC10).","admin-ui","onboarding frontend"
"T23","Task","Add remaining invite integration coverage (soft-delete re-invite, normalization, audit rows)","Invite-based user onboarding (Platform / Tenant)","Phase 5: Test suite completion","To Do","Medium","3","T19, T22","services/config/tests/test_invites.py, services/config/tests/test_users.py","Coverage not already produced as 'done when' checks above: soft-delete re-invite (invite -> accept -> soft-delete -> re-invite -> second live row, old row's password no longer authenticates); normalization (Bob@X.com invite resolves/blocks against bob@x.com account); and the audit-row-per-mutating-path assertion across create/resend/revoke/accept. Done when: all listed scenarios pass in pytest services/config/tests/.","config-service","onboarding testing"
